"V1","V2"
335,15
336,1
336,2
336,4
336,16
337,1
337,4
337,13
337,17
338,7
338,8
338,11
338,15
339,1
339,2
339,7
339,15
340,1
340,2
340,5
340,17
341,1
341,5
341,7
341,8
342,5
342,12
342,13
342,15
343,4
343,7
343,8
343,13
344,2
344,7
344,12
344,15
345,4
345,13
345,15
345,17
346,1
346,2
346,16
346,17
347,2
347,4
347,12
347,17
348,1
348,5
348,6
348,15
349,1
349,7
349,15
349,16
350,5
350,7
350,11
350,13
351,1
351,5
351,7
351,15
352,1
352,4
352,13
352,16
353,1
353,2
353,5
353,15
354,2
354,9
354,14
354,15
355,1
355,7
355,16
355,17
356,7
356,12
356,13
356,14
357,1
357,2
357,9
357,12
358,1
358,2
358,4
358,7
359,1
359,2
359,4
359,13
360,3
360,4
360,7
360,11
361,1
361,2
361,4
361,5
362,9
362,12
362,13
362,14
363,2
363,5
363,7
363,17
364,2
364,3
364,4
364,13
365,1
365,5
365,7
365,17
366,1
366,7
366,15
366,17
367,1
367,4
367,14
367,15
368,2
368,4
368,5
368,15
369,1
369,7
369,12
369,15
370,4
370,5
370,7
370,15
371,1
371,5
371,9
371,14
372,2
372,3
372,12
372,13
373,2
373,4
373,5
373,14
374,1
374,2
374,3
374,4
375,1
375,5
375,7
375,9
376,2
376,3
376,4
376,11
377,4
377,5
377,13
377,15
378,4
378,7
378,9
378,15
379,2
379,4
379,5
379,13
380,1
380,2
380,13
380,15
381,4
381,7
381,12
381,15
382,1
382,2
382,4
382,17
383,2
383,13
383,16
383,17
384,3
384,4
384,11
384,13
385,1
385,4
385,9
385,14
386,5
386,7
386,14
386,15
387,1
387,7
387,14
387,15
388,1
388,2
388,7
388,14
389,5
389,7
389,9
389,11
390,4
390,5
390,7
390,17
391,1
391,4
391,7
391,17
392,1
392,2
392,5
392,12
393,1
393,7
393,13
393,15
394,4
394,7
394,14
394,16
395,2
395,4
395,9
395,13
396,7
396,12
396,14
396,15
397,1
397,14
397,15
397,17
398,2
398,7
398,11
398,13
399,1
399,7
399,9
399,16
400,2
400,7
400,14
400,15
401,4
401,9
401,11
401,15
402,4
402,7
402,9
402,14
403,1
403,5
403,7
403,13
404,1
404,2
404,4
404,14
405,1
405,2
405,15
405,16
406,4
406,9
406,11
406,14
407,2
407,4
407,7
407,13
408,1
408,4
408,7
408,15
409,2
409,13
409,14
409,15
410,1
410,9
410,14
410,15
411,2
411,3
411,5
411,7
412,1
412,2
412,9
412,14
413,1
413,7
413,9
413,15
414,2
414,9
414,12
414,15
415,1
415,4
415,12
415,13
416,1
416,2
416,14
416,17
417,1
417,2
417,5
417,7
418,4
418,12
418,13
418,17
419,1
419,9
419,12
419,13
420,1
420,2
420,12
420,15
421,1
421,5
421,15
421,16
422,2
422,4
422,14
422,17
423,1
423,2
423,3
423,14
424,1
424,9
424,12
424,14
425,1
425,7
425,9
425,14
426,7
426,9
426,11
426,15
427,2
427,7
427,13
427,14
428,2
428,3
428,7
428,14
429,1
429,4
429,5
429,13
430,1
430,4
430,5
430,15
431,9
431,13
431,14
431,15
432,1
432,3
432,7
432,16
433,1
433,4
433,13
433,15
434,1
434,2
434,4
434,12
435,2
435,5
435,7
435,13
436,4
436,9
436,14
436,15
437,1
437,5
437,14
437,15
438,2
438,4
438,11
438,14
439,1
439,4
439,7
439,9
440,8
440,9
440,12
440,15
441,3
441,7
441,14
441,16
442,3
442,4
442,7
442,14
443,2
443,7
443,16
443,17
444,2
444,3
444,9
444,14
445,1
445,5
445,13
445,15
446,1
446,4
446,15
446,17
447,1
447,5
447,9
447,15
448,1
448,3
448,4
448,14
449,1
449,3
449,7
449,14
450,2
450,3
450,11
450,14
451,1
451,2
451,13
451,14
452,2
452,3
452,4
452,14
453,1
453,3
453,14
453,16
454,1
454,4
454,13
454,14
455,1
455,4
455,9
455,17
456,1
456,3
456,9
456,14
457,1
457,8
457,14
457,15
458,1
458,14
458,15
458,16
459,1
459,2
459,9
459,13
460,3
460,4
460,11
460,14
461,3
461,10
461,11
461,13
462,2
462,3
462,11
462,17
463,1
463,13
463,16
463,17
464,1
464,5
464,15
464,17
465,4
465,13
465,14
465,15
466,1
466,6
466,7
466,16
467,1
467,2
467,4
467,9
468,1
468,7
468,13
468,14
469,3
469,4
469,7
469,13
470,4
470,5
470,7
470,9
471,2
471,3
471,11
471,13
472,2
472,7
472,9
472,14
473,1
473,7
473,14
473,16
474,2
474,7
474,12
474,14
475,3
475,7
475,11
475,13
476,2
476,4
476,5
476,12
477,1
477,4
477,9
477,15
478,1
478,5
478,7
478,16
479,5
479,7
479,11
479,15
480,2
480,3
480,4
480,5
481,1
481,2
481,4
481,15
482,4
482,9
482,11
482,17
483,4
483,9
483,13
483,14
484,1
484,13
484,14
484,15
485,2
485,3
485,7
485,11
486,7
486,13
486,14
486,15
487,4
487,9
487,13
487,15
488,3
488,9
488,12
488,15
489,1
489,2
489,3
489,7
490,1
490,3
490,12
490,14
491,1
491,4
491,11
491,13
492,2
492,8
492,14
492,15
493,5
493,7
493,13
493,16
494,3
494,7
494,10
494,14
495,1
495,6
495,7
495,15
496,1
496,4
496,12
496,15
497,4
497,5
497,7
497,16
498,1
498,3
498,5
498,15
499,1
499,4
499,14
499,17
500,1
500,2
500,9
500,15
501,2
501,3
501,12
501,14
502,1
502,3
502,7
502,15
503,5
503,7
503,12
503,14
504,2
504,4
504,12
504,13
505,7
505,9
505,15
505,16
506,12
506,13
506,14
506,15
507,1
507,3
507,14
507,15
508,1
508,4
508,9
508,11
509,2
509,3
509,7
509,9
510,1
510,2
510,10
510,14
511,4
511,5
511,11
511,12
512,2
512,3
512,10
512,14
513,1
513,3
513,4
513,13
514,7
514,11
514,13
514,14
515,3
515,7
515,13
515,16
516,2
516,7
516,9
516,12
517,4
517,7
517,11
517,12
518,1
518,4
518,7
518,16
519,3
519,7
519,13
519,14
520,1
520,3
520,4
520,9
521,3
521,4
521,11
521,17
522,7
522,12
522,13
522,16
523,1
523,9
523,14
523,16
524,1
524,2
524,4
524,6
525,1
525,5
525,11
525,13
526,1
526,3
526,4
526,11
527,1
527,3
527,4
527,15
528,2
528,3
528,4
528,16
529,2
529,7
529,9
529,15
530,5
530,7
530,15
530,16
531,1
531,3
531,9
531,15
532,7
532,9
532,12
532,14
533,1
533,3
533,5
533,14
534,1
534,5
534,7
534,12
535,1
535,4
535,5
535,17
536,1
536,10
536,14
536,15
537,1
537,2
537,10
537,15
538,2
538,11
538,13
538,14
539,2
539,3
539,4
539,10
540,2
540,4
540,14
540,15
541,2
541,4
541,7
541,16
542,1
542,2
542,3
542,5
543,4
543,7
543,14
543,15
544,1
544,2
544,5
544,16
545,4
545,6
545,7
545,13
546,2
546,3
546,13
546,14
547,2
547,3
547,4
547,7
548,1
548,4
548,6
548,15
549,1
549,4
549,5
549,12
550,1
550,2
550,3
550,10
551,1
551,7
551,11
551,13
552,2
552,8
552,12
552,14
553,4
553,5
553,9
553,15
554,1
554,2
554,3
554,12
555,1
555,12
555,14
555,15
556,1
556,5
556,7
556,10
557,1
557,3
557,4
557,10
558,2
558,4
558,13
558,14
559,9
559,14
559,15
559,16
560,3
560,6
560,7
560,16
561,1
561,5
561,10
561,15
562,7
562,10
562,14
562,15
563,4
563,7
563,11
563,14
564,1
564,4
564,5
564,6
565,3
565,5
565,7
565,15
566,5
566,12
566,14
566,15
567,1
567,2
567,3
567,9
568,2
568,10
568,12
568,13
569,1
569,4
569,9
569,13
570,1
570,2
570,14
570,16
571,4
571,11
571,14
571,17
572,2
572,3
572,4
572,17
573,7
573,12
573,15
573,16
574,1
574,3
574,4
574,7
575,2
575,4
575,7
575,14
576,1
576,2
576,10
576,13
577,5
577,7
577,15
577,17
578,1
578,4
578,11
578,14
579,2
579,6
579,7
579,16
580,1
580,3
580,14
580,17
581,2
581,4
581,6
581,7
582,4
582,7
582,9
582,13
583,2
583,3
583,4
583,12
584,3
584,4
584,13
584,14
585,1
585,2
585,7
585,10
586,10
586,12
586,14
586,15
587,1
587,4
587,6
587,7
588,1
588,7
588,10
588,14
589,1
589,3
589,10
589,12
590,1
590,2
590,11
590,13
591,3
591,4
591,14
591,16
592,1
592,2
592,5
592,10
593,1
593,4
593,10
593,14
594,1
594,9
594,10
594,14
595,4
